@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data

771.5963970885297,392.5939378034256,758.1688466298256,602.6748708881099,26.40075756488817,602.6557889873787,528.3134643925288,1.4754098360655739,0.6239085268670309,0.9100028435448418,219216.5,2397.2459400892258,1,38,17,31,146,137,181,922,2343,0.0008012000992214897,1.889220272967963e-07,6.205223247600248e-11,4.495689738794617e-12,-5.815931371484493e-23,-1.8675023593325713e-15,-4.749495967981182e-23,745.1900876162003,405.8350950095712,31.5
909.9329645638738,312.05448242254107,390.1858531520588,696.419413859206,575.2086577929787,373.048254251377,551.5847008145223,2.4945054945054945,0.7229813138403447,0.9132319922035486,238954.0,2567.22869515419,0,38,31,35,104,161,239,644,2806,0.0009553732584470646,4.953538187517042e-07,3.1635163843642127e-11,1.448838429419994e-11,3.1003015417166435e-22,1.0107186942316085e-14,-9.66758017127588e-24,901.4368744279931,351.00071565033386,31.5
865.0023121356381,244.38085031360376,390.2883549377306,678.8055686277183,586.8014996572521,380.42213395122,540.1389721919861,2.3922651933701657,0.7309277429727075,0.9030112196602181,229140.0,2479.40532040596,0,0,31,21,87,118,341,811,2752,0.000958905499674907,4.990669190651825e-07,2.851902351733902e-11,1.1482225821226121e-11,2.0534719442195922e-22,7.156523408350013e-15,3.1711147174979925e-23,884.4045584669029,344.34453596313796,31.5
646.6011135158986,698.6000286286853,346.6554485364394,351.92754936208104,399.1453369388148,618.9830369242763,517.6604686304393,1.1300527240773286,0.5752500225491777,0.8654895969766567,210465.0,2258.4002680778503,0,0,0,49,87,171,237,841,2370,0.000789112612658524,1.5079702187442959e-07,7.012074419796202e-11,4.801899263691744e-12,-8.769548286322798e-23,-1.68446369322068e-15,-8.57347764526447e-24,712.6389660892064,415.7737706052966,31.5
912.7913233592878,835.4070863956086,378.21951298154886,274.84723029348504,598.8205073308695,621.1094911527274,569.5627277004493,2.2825,0.697657447973713,0.8818391687779485,254784.5,2897.662241578102,34,107,36,61,170,222,294,763,3046,0.0009978213719290744,5.574398766053633e-07,5.484276257787395e-11,2.4642058897259277e-11,8.980798646221003e-22,1.654427247892949e-14,1.1869309426964284e-22,954.5538757559169,362.22989071103507,31.5
850.2734854151339,361.1107863246403,687.2648688824419,636.7432763681137,234.95531490051465,569.4295391003175,534.3998255479603,1.826086956521739,0.5804774844720497,0.8426322996556912,224296.5,2611.152575135231,0,0,33,72,139,171,313,791,2644,0.0009432048869913532,4.356057570659451e-07,6.366676020152815e-11,1.7365616051392844e-11,4.998269527668019e-22,6.304517602275033e-15,-2.8911353399677166e-22,858.6421245061763,360.8810799024607,31.5
915.4916711800278,842.4915429842605,370.36198509026275,273.27092783536267,620.7841814994966,647.8641832977032,563.5934844408429,2.0400890868596884,0.6065686970560489,0.8865639392733269,249472.0,2760.9931948184967,4,42,11,43,161,172,202,747,2830,0.0009799078036528807,5.225410969712189e-07,5.630323083133153e-11,1.9234354801313493e-11,6.009741841014612e-22,1.0396118480566175e-14,1.9869823285478189e-22,933.1366769195968,362.5473457156417,31.5
954.6936681470136,295.8462438497403,789.8259301896843,760.2664006780781,220.94569468536832,648.5984890515857,546.6895171804576,2.154022988505747,0.5758939633705026,0.8865721418778304,234731.5,2642.5007733106613,0,17,27,91,127,106,274,593,3179,0.0009776987341975408,4.993775373383344e-07,9.78234239441215e-11,2.510306460738432e-11,1.0698100699858261e-21,9.695699367185376e-15,-6.348066262055774e-22,900.3053356171774,361.1454646996541,31.5
695.9604873841618,517.2852211304707,169.9941175452845,346.5616828213991,661.3115755829472,571.693974080539,503.9277436885388,1.0938628158844765,0.5940787670824844,0.8782049870765762,199446.5,2092.2753776311874,0,0,0,43,21,148,216,798,2265,0.0007555996630440659,1.3339862377783663e-07,1.678007592966688e-11,1.5850822001932464e-12,-7.889941523867854e-24,-5.784709499258707e-16,2.139021020710071e-24,676.8170870453799,399.42359272652067,31.5
